dataset,noise,model,k,k_accuracies
gsm,punctuation_10,gemma-3-12b-it,1,"[0.91129644 0.90295679 0.90598939 0.91281274 0.90674754 0.89916603
 0.91357089 0.90219864 0.89916603 0.90674754 0.90068234 0.90447309
 0.90674754 0.91508719 0.90674754 0.90447309 0.91129644 0.90295679
 0.91053829 0.90902199 0.91205459 0.90978014 0.90826384 0.90219864
 0.91357089]"
gsm,punctuation_10,gemma-3-12b-it,5,"[0.92949204 0.92873389 0.92949204 0.93328279 0.92949204 0.93252464
 0.92873389 0.92570129 0.92570129 0.92873389 0.93025019 0.93025019
 0.93176649 0.93176649 0.92873389 0.92797574 0.92949204 0.93025019
 0.93176649 0.93025019 0.93100834]"
gsm,punctuation_10,gemma-3-12b-it,10,"[0.93100834 0.93176649 0.93252464 0.93252464 0.93176649 0.93176649
 0.93555724 0.93479909 0.93252464 0.93404094 0.93252464 0.93479909
 0.93631539 0.93404094 0.93176649 0.93404094]"
gsm,punctuation_10,gemma-3-12b-it,15,"[0.93100834 0.93176649 0.93707354 0.93404094 0.93328279 0.93328279
 0.93252464 0.93252464 0.93328279 0.93328279 0.93404094]"
gsm,punctuation_10,gemma-3-12b-it,20,[0.93252464 0.93555724 0.93631539 0.93555724 0.93479909 0.93328279]
gsm,punctuation_10,gemma-3-12b-it,25,[0.93252464]
math,punctuation_10,gemma-3-12b-it,1,"[0.61 0.61 0.62 0.58 0.58 0.63 0.62 0.63 0.61 0.61 0.63 0.55 0.62 0.63
 0.65 0.61 0.58 0.59 0.6  0.64 0.64 0.62 0.61 0.6  0.56]"
math,punctuation_10,gemma-3-12b-it,5,"[0.65 0.65 0.63 0.63 0.63 0.63 0.63 0.63 0.64 0.67 0.66 0.64 0.65 0.66
 0.66 0.64 0.64 0.63 0.61 0.67 0.68]"
math,punctuation_10,gemma-3-12b-it,10,"[0.64 0.63 0.62 0.61 0.66 0.64 0.64 0.66 0.66 0.68 0.66 0.66 0.67 0.66
 0.67 0.65]"
math,punctuation_10,gemma-3-12b-it,15,[0.65 0.65 0.64 0.63 0.66 0.65 0.65 0.67 0.67 0.68 0.67]
math,punctuation_10,gemma-3-12b-it,20,[0.65 0.66 0.66 0.63 0.65 0.65]
math,punctuation_10,gemma-3-12b-it,25,[0.66]
mmlu,punctuation_10,gemma-3-12b-it,1,"[0.85174693 0.83569405 0.83852691 0.83663834 0.84513692 0.84230406
 0.82908404 0.84891407 0.84041549 0.84891407 0.85552408 0.83852691
 0.85269122 0.83097262 0.85269122 0.85080264 0.83663834 0.8394712
 0.84419263 0.86024551 0.85646837 0.84230406 0.85080264 0.84041549
 0.84419263]"
mmlu,punctuation_10,gemma-3-12b-it,5,"[0.86402266 0.86496695 0.8611898  0.86024551 0.86024551 0.85741265
 0.8611898  0.86968839 0.86968839 0.86307838 0.85835694 0.85457979
 0.86307838 0.86307838 0.86591124 0.87440982 0.86591124 0.87157696
 0.86591124 0.87157696 0.86213409]"
mmlu,punctuation_10,gemma-3-12b-it,10,"[0.86685552 0.86402266 0.86402266 0.86307838 0.86685552 0.86024551
 0.86402266 0.86779981 0.8687441  0.8687441  0.86968839 0.86685552
 0.86779981 0.87252125 0.87535411 0.87157696]"
mmlu,punctuation_10,gemma-3-12b-it,15,"[0.86024551 0.86402266 0.86591124 0.86779981 0.87063267 0.86779981
 0.8687441  0.87346553 0.87157696 0.87063267 0.8687441 ]"
mmlu,punctuation_10,gemma-3-12b-it,20,[0.86496695 0.8687441  0.8687441  0.86779981 0.87063267 0.86685552]
mmlu,punctuation_10,gemma-3-12b-it,25,[0.86779981]
multiarith,punctuation_10,gemma-3-12b-it,1,"[0.98333333 0.98333333 0.97777778 0.98333333 0.98888889 0.97222222
 0.95555556 0.98888889 0.97222222 0.98333333 0.97777778 0.98888889
 0.98333333 0.96111111 0.98888889 0.96666667 0.98333333 0.97777778
 0.97777778 0.96666667 0.97777778 0.97777778 0.98333333 0.98888889
 0.97777778]"
multiarith,punctuation_10,gemma-3-12b-it,5,"[0.99444444 0.98888889 0.98333333 0.98333333 0.98888889 0.97777778
 0.98333333 0.99444444 0.98333333 0.99444444 0.98888889 0.99444444
 0.97777778 0.98333333 0.98888889 0.97777778 0.99444444 0.98333333
 0.98333333 0.97777778 0.98888889]"
multiarith,punctuation_10,gemma-3-12b-it,10,"[0.99444444 0.98888889 0.98888889 0.98888889 0.98888889 0.98888889
 0.98888889 0.99444444 0.98888889 0.99444444 0.99444444 0.99444444
 0.98888889 0.98888889 0.98888889 0.98333333]"
multiarith,punctuation_10,gemma-3-12b-it,15,"[0.99444444 0.99444444 0.98888889 0.98888889 0.98888889 0.98333333
 0.98888889 0.99444444 0.99444444 0.99444444 0.99444444]"
multiarith,punctuation_10,gemma-3-12b-it,20,[0.99444444 0.99444444 0.98333333 0.98888889 0.98888889 0.98888889]
multiarith,punctuation_10,gemma-3-12b-it,25,[0.99444444]
gsm,punctuation_10,gemma-3-4b-it,1,"[0.83623958 0.83775588 0.83851403 0.84609553 0.84382108 0.84003033
 0.83017437 0.85443518 0.84306293 0.83396513 0.83548143 0.83548143
 0.84533738 0.82486732 0.83851403 0.84457923 0.83320697 0.83927218
 0.84609553 0.85291888 0.84003033 0.83851403 0.84988628 0.84154663
 0.84078848]"
gsm,punctuation_10,gemma-3-4b-it,5,"[0.89310083 0.88931008 0.89234268 0.89310083 0.89461713 0.89006823
 0.89082638 0.89158453 0.88627748 0.87793783 0.88400303 0.88248673
 0.88324488 0.88172858 0.88855193 0.89613343 0.89082638 0.89006823
 0.89234268 0.89613343 0.88703563]"
gsm,punctuation_10,gemma-3-4b-it,10,"[0.89992418 0.89840788 0.89916603 0.89916603 0.89385898 0.89310083
 0.89385898 0.89537528 0.89310083 0.89310083 0.89537528 0.89537528
 0.89689158 0.89537528 0.89992418 0.90144049]"
gsm,punctuation_10,gemma-3-4b-it,15,"[0.89613343 0.89537528 0.89840788 0.89764973 0.89689158 0.89764973
 0.89613343 0.89689158 0.89537528 0.89689158 0.89689158]"
gsm,punctuation_10,gemma-3-4b-it,20,[0.90068234 0.89689158 0.89992418 0.89689158 0.89916603 0.89840788]
gsm,punctuation_10,gemma-3-4b-it,25,[0.89840788]
math,punctuation_10,gemma-3-4b-it,1,"[0.49 0.49 0.5  0.44 0.45 0.46 0.46 0.52 0.46 0.48 0.49 0.49 0.5  0.51
 0.5  0.52 0.52 0.47 0.47 0.53 0.54 0.47 0.5  0.49 0.46]"
math,punctuation_10,gemma-3-4b-it,5,"[0.56 0.57 0.55 0.57 0.56 0.56 0.57 0.58 0.58 0.56 0.57 0.6  0.57 0.56
 0.59 0.56 0.59 0.58 0.57 0.61 0.62]"
math,punctuation_10,gemma-3-4b-it,10,"[0.57 0.6  0.59 0.6  0.62 0.62 0.61 0.63 0.6  0.58 0.61 0.6  0.62 0.64
 0.62 0.59]"
math,punctuation_10,gemma-3-4b-it,15,[0.6  0.6  0.61 0.61 0.62 0.63 0.64 0.63 0.61 0.62 0.61]
math,punctuation_10,gemma-3-4b-it,20,[0.62 0.6  0.61 0.61 0.62 0.61]
math,punctuation_10,gemma-3-4b-it,25,[0.62]
mmlu,punctuation_10,gemma-3-4b-it,1,"[0.73465534 0.72332389 0.71576959 0.71671388 0.71954674 0.72143532
 0.7223796  0.75542965 0.71293673 0.73087819 0.72521246 0.72804533
 0.71671388 0.72710104 0.71576959 0.71671388 0.72710104 0.71576959
 0.72049103 0.70632672 0.71576959 0.7374882  0.7299339  0.72615675
 0.7223796 ]"
mmlu,punctuation_10,gemma-3-4b-it,5,"[0.75259679 0.75070822 0.75448536 0.75259679 0.75259679 0.75259679
 0.76203966 0.76770538 0.75259679 0.76203966 0.75448536 0.75448536
 0.75731822 0.7516525  0.74409821 0.74787535 0.76392823 0.74693107
 0.74787535 0.75637394 0.75448536]"
mmlu,punctuation_10,gemma-3-4b-it,10,"[0.7667611  0.75826251 0.77053824 0.76487252 0.77148253 0.7667611
 0.76298395 0.76959396 0.7667611  0.76864967 0.76392823 0.76298395
 0.7592068  0.76203966 0.76109537 0.75637394]"
mmlu,punctuation_10,gemma-3-4b-it,15,"[0.76864967 0.7667611  0.76487252 0.7667611  0.77148253 0.77242682
 0.76487252 0.77525968 0.77148253 0.76864967 0.77053824]"
mmlu,punctuation_10,gemma-3-4b-it,20,[0.77242682 0.76581681 0.76487252 0.76392823 0.76581681 0.76864967]
mmlu,punctuation_10,gemma-3-4b-it,25,[0.77053824]
multiarith,punctuation_10,gemma-3-4b-it,1,"[0.92222222 0.95       0.9        0.93333333 0.90555556 0.92777778
 0.93333333 0.92222222 0.92222222 0.92222222 0.96111111 0.93333333
 0.94444444 0.93333333 0.92222222 0.92777778 0.91666667 0.92777778
 0.93888889 0.91666667 0.93888889 0.93888889 0.92777778 0.92222222
 0.92777778]"
multiarith,punctuation_10,gemma-3-4b-it,5,"[0.94444444 0.94444444 0.93888889 0.95       0.94444444 0.95
 0.95       0.95555556 0.96111111 0.95555556 0.96666667 0.96666667
 0.95555556 0.94444444 0.95       0.95       0.93888889 0.94444444
 0.96111111 0.95       0.94444444]"
multiarith,punctuation_10,gemma-3-4b-it,10,"[0.94444444 0.95       0.95       0.95555556 0.95555556 0.95555556
 0.95555556 0.95555556 0.95       0.95555556 0.95555556 0.95555556
 0.95       0.95       0.94444444 0.94444444]"
multiarith,punctuation_10,gemma-3-4b-it,15,"[0.95       0.95       0.95       0.95       0.95555556 0.95
 0.95555556 0.95       0.95       0.95555556 0.95      ]"
multiarith,punctuation_10,gemma-3-4b-it,20,[0.95 0.95 0.95 0.95 0.95 0.95]
multiarith,punctuation_10,gemma-3-4b-it,25,[0.95]
gsm,punctuation_10,Llama-3.1-8B-Instruct,1,"[0.60879454 0.64366945 0.6580743  0.64821835 0.64215315 0.63608795
 0.63608795 0.63153904 0.63457165 0.63912055 0.62471569 0.64973465
 0.65731615 0.62016679 0.64063685 0.63229719 0.63229719 0.62774829
 0.63153904 0.6444276  0.6444276  0.61865049 0.64063685 0.6383624
 0.63153904]"
gsm,punctuation_10,Llama-3.1-8B-Instruct,5,"[0.82865807 0.80212282 0.78316907 0.79150872 0.78392722 0.78468537
 0.80439727 0.78316907 0.79529947 0.78089462 0.79150872 0.78923427
 0.77937832 0.77634572 0.76876422 0.76648976 0.79302502 0.78620167
 0.78923427 0.78847612 0.78013647]"
gsm,punctuation_10,Llama-3.1-8B-Instruct,10,"[0.87187263 0.87414708 0.86808188 0.87263078 0.87566338 0.87035633
 0.87187263 0.87111448 0.86656558 0.86884003 0.87566338 0.87490523
 0.86201668 0.86504928 0.86050038 0.86125853]"
gsm,punctuation_10,Llama-3.1-8B-Instruct,15,"[0.88779378 0.88551933 0.88703563 0.88627748 0.88248673 0.88248673
 0.88551933 0.88855193 0.88779378 0.88324488 0.88400303]"
gsm,punctuation_10,Llama-3.1-8B-Instruct,20,[0.89310083 0.89385898 0.89158453 0.89234268 0.88779378 0.88931008]
gsm,punctuation_10,Llama-3.1-8B-Instruct,25,[0.90068234]
math,punctuation_10,Llama-3.1-8B-Instruct,1,"[0.2  0.18 0.21 0.21 0.23 0.22 0.22 0.21 0.2  0.19 0.21 0.26 0.2  0.23
 0.26 0.19 0.2  0.25 0.21 0.18 0.19 0.2  0.28 0.26 0.18]"
math,punctuation_10,Llama-3.1-8B-Instruct,5,"[0.32 0.3  0.33 0.34 0.32 0.33 0.31 0.32 0.31 0.32 0.36 0.35 0.34 0.38
 0.36 0.32 0.32 0.33 0.36 0.3  0.31]"
math,punctuation_10,Llama-3.1-8B-Instruct,10,"[0.39 0.38 0.41 0.42 0.41 0.41 0.42 0.42 0.43 0.44 0.45 0.43 0.42 0.42
 0.4  0.4 ]"
math,punctuation_10,Llama-3.1-8B-Instruct,15,[0.42 0.42 0.43 0.43 0.43 0.44 0.44 0.43 0.44 0.44 0.46]
math,punctuation_10,Llama-3.1-8B-Instruct,20,[0.45 0.44 0.44 0.46 0.47 0.46]
math,punctuation_10,Llama-3.1-8B-Instruct,25,[0.48]
mmlu,punctuation_10,Llama-3.1-8B-Instruct,1,"[0.48253069 0.49291785 0.49197356 0.47875354 0.4891407  0.4674221
 0.51274788 0.48347498 0.4815864  0.49763928 0.45609065 0.45797923
 0.50424929 0.47214353 0.4815864  0.51180359 0.4891407  0.50141643
 0.49008499 0.52407932 0.50141643 0.47686497 0.50802644 0.50424929
 0.49575071]"
mmlu,punctuation_10,Llama-3.1-8B-Instruct,5,"[0.57412653 0.57412653 0.58545798 0.57223796 0.58451369 0.58640227
 0.58073654 0.57884797 0.58734655 0.58451369 0.55901794 0.58734655
 0.58829084 0.58829084 0.59962229 0.61189802 0.60623229 0.598678
 0.59678942 0.60245515 0.60151086]"
mmlu,punctuation_10,Llama-3.1-8B-Instruct,10,"[0.61850803 0.6128423  0.61473088 0.62606232 0.6279509  0.62511804
 0.62889518 0.62511804 0.63267233 0.62322946 0.62511804 0.63833805
 0.64494806 0.64494806 0.65155807 0.64400378]"
mmlu,punctuation_10,Llama-3.1-8B-Instruct,15,"[0.63833805 0.64022663 0.64305949 0.64022663 0.6421152  0.65439093
 0.65911237 0.65911237 0.66855524 0.65533522 0.65344665]"
mmlu,punctuation_10,Llama-3.1-8B-Instruct,20,[0.64589235 0.65250236 0.65911237 0.65911237 0.66477809 0.66477809]
mmlu,punctuation_10,Llama-3.1-8B-Instruct,25,[0.66288952]
multiarith,punctuation_10,Llama-3.1-8B-Instruct,1,"[0.84444444 0.76111111 0.8        0.75       0.75555556 0.76666667
 0.77222222 0.83888889 0.70555556 0.75555556 0.80555556 0.85555556
 0.77777778 0.82222222 0.80555556 0.77777778 0.77777778 0.77777778
 0.78888889 0.82222222 0.79444444 0.77222222 0.81111111 0.79444444
 0.74444444]"
multiarith,punctuation_10,Llama-3.1-8B-Instruct,5,"[0.97222222 0.97777778 0.96111111 0.96111111 0.95       0.95555556
 0.95555556 0.95       0.93333333 0.95       0.91111111 0.96111111
 0.96666667 0.93888889 0.96666667 0.96666667 0.97222222 0.97777778
 0.96111111 0.96666667 0.95      ]"
multiarith,punctuation_10,Llama-3.1-8B-Instruct,10,"[0.98333333 0.98888889 0.98333333 0.98333333 0.98888889 0.97777778
 0.98333333 0.98888889 0.98888889 0.98888889 0.98888889 0.98333333
 0.98888889 0.98888889 0.98333333 0.98333333]"
multiarith,punctuation_10,Llama-3.1-8B-Instruct,15,"[0.98888889 0.98888889 0.98888889 0.98888889 0.98333333 0.98333333
 0.98888889 0.98888889 0.98888889 0.98333333 0.98888889]"
multiarith,punctuation_10,Llama-3.1-8B-Instruct,20,[0.98888889 0.98888889 0.98333333 0.98333333 0.98333333 0.98333333]
multiarith,punctuation_10,Llama-3.1-8B-Instruct,25,[0.98888889]
gsm,punctuation_10,Mistral-7B-Instruct-v0.3,1,"[0.39954511 0.39802881 0.39196361 0.39727066 0.38968916 0.38893101
 0.39499621 0.39120546 0.40333586 0.38059136 0.39423806 0.39347991
 0.40485216 0.41319181 0.40030326 0.38665656 0.40712661 0.41849886
 0.39878696 0.38514026 0.38286581 0.41394996 0.40030326 0.40030326
 0.39347991]"
gsm,punctuation_10,Mistral-7B-Instruct-v0.3,5,"[0.52539803 0.50189538 0.50265353 0.49583017 0.48976497 0.49658832
 0.48369977 0.48749052 0.49128127 0.51402578 0.52463988 0.49962092
 0.51250948 0.55572403 0.53222138 0.54662623 0.54965883 0.51478393
 0.48445792 0.52463988 0.51857468]"
gsm,punctuation_10,Mistral-7B-Instruct-v0.3,10,"[0.60500379 0.60500379 0.59742229 0.61637604 0.62016679 0.61561789
 0.60955269 0.60500379 0.61789234 0.62244124 0.61637604 0.61865049
 0.62774829 0.62092494 0.60955269 0.61258529]"
gsm,punctuation_10,Mistral-7B-Instruct-v0.3,15,"[0.656558   0.65731615 0.6520091  0.6550417  0.6611069  0.65883245
 0.656558   0.65731615 0.6535254  0.65883245 0.66338135]"
gsm,punctuation_10,Mistral-7B-Instruct-v0.3,20,[0.66793025 0.6808188  0.68460955 0.68460955 0.6808188  0.66944655]
gsm,punctuation_10,Mistral-7B-Instruct-v0.3,25,[0.6899166]
math,punctuation_10,Mistral-7B-Instruct-v0.3,1,"[0.04 0.04 0.06 0.05 0.07 0.07 0.02 0.07 0.06 0.06 0.08 0.04 0.03 0.07
 0.03 0.05 0.04 0.08 0.09 0.03 0.04 0.07 0.08 0.08 0.07]"
math,punctuation_10,Mistral-7B-Instruct-v0.3,5,"[0.07 0.05 0.09 0.1  0.07 0.09 0.06 0.11 0.09 0.11 0.09 0.04 0.05 0.07
 0.05 0.07 0.07 0.1  0.08 0.09 0.09]"
math,punctuation_10,Mistral-7B-Instruct-v0.3,10,"[0.12 0.1  0.1  0.12 0.12 0.11 0.09 0.12 0.12 0.13 0.09 0.07 0.06 0.06
 0.09 0.09]"
math,punctuation_10,Mistral-7B-Instruct-v0.3,15,[0.13 0.11 0.13 0.12 0.14 0.14 0.12 0.12 0.12 0.12 0.1 ]
math,punctuation_10,Mistral-7B-Instruct-v0.3,20,[0.13 0.11 0.12 0.11 0.13 0.12]
math,punctuation_10,Mistral-7B-Instruct-v0.3,25,[0.13]
mmlu,punctuation_10,Mistral-7B-Instruct-v0.3,1,"[0.36071766 0.35127479 0.38338055 0.37299339 0.37299339 0.37488196
 0.40037771 0.36921624 0.40415486 0.36071766 0.36166195 0.38054769
 0.34749764 0.34560907 0.37582625 0.36827195 0.35694051 0.36827195
 0.3796034  0.3720491  0.36921624 0.38432483 0.36166195 0.3578848
 0.34372049]"
mmlu,punctuation_10,Mistral-7B-Instruct-v0.3,5,"[0.42398489 0.41926346 0.43248347 0.43437205 0.42965061 0.41926346
 0.43342776 0.41926346 0.41643059 0.39376771 0.40793201 0.40698772
 0.38810198 0.4088763  0.41926346 0.42870633 0.41831917 0.42209632
 0.41831917 0.42209632 0.41831917]"
mmlu,punctuation_10,Mistral-7B-Instruct-v0.3,10,"[0.43342776 0.44192635 0.43248347 0.43626062 0.42587347 0.4305949
 0.43342776 0.43342776 0.4305949  0.41643059 0.42870633 0.4230406
 0.42209632 0.4381492  0.43626062 0.43626062]"
mmlu,punctuation_10,Mistral-7B-Instruct-v0.3,15,"[0.43626062 0.43153919 0.44287063 0.44098206 0.43437205 0.44192635
 0.43342776 0.42870633 0.43720491 0.43342776 0.44570349]"
mmlu,punctuation_10,Mistral-7B-Instruct-v0.3,20,[0.43720491 0.43909348 0.44475921 0.44759207 0.45042493 0.44664778]
mmlu,punctuation_10,Mistral-7B-Instruct-v0.3,25,[0.44853636]
multiarith,punctuation_10,Mistral-7B-Instruct-v0.3,1,"[0.68333333 0.69444444 0.70555556 0.71666667 0.75       0.77222222
 0.7        0.72222222 0.73333333 0.71111111 0.73333333 0.72777778
 0.75555556 0.73333333 0.70555556 0.67777778 0.68888889 0.72777778
 0.71111111 0.70555556 0.65555556 0.67222222 0.67777778 0.76111111
 0.68333333]"
multiarith,punctuation_10,Mistral-7B-Instruct-v0.3,5,"[0.91111111 0.91666667 0.88333333 0.92222222 0.89444444 0.88333333
 0.89444444 0.91111111 0.91111111 0.90555556 0.90555556 0.92222222
 0.92222222 0.91666667 0.92222222 0.91666667 0.93888889 0.91666667
 0.91666667 0.91111111 0.90555556]"
multiarith,punctuation_10,Mistral-7B-Instruct-v0.3,10,"[0.93888889 0.93888889 0.93888889 0.95       0.96111111 0.95555556
 0.93333333 0.96666667 0.96666667 0.96111111 0.97222222 0.98888889
 0.97222222 0.97777778 0.96666667 0.96111111]"
multiarith,punctuation_10,Mistral-7B-Instruct-v0.3,15,"[0.96666667 0.96111111 0.95555556 0.97777778 0.98333333 0.98333333
 0.98888889 0.97777778 0.97777778 0.97222222 0.98333333]"
multiarith,punctuation_10,Mistral-7B-Instruct-v0.3,20,[0.97777778 0.98333333 0.98333333 0.97777778 0.98333333 0.98333333]
multiarith,punctuation_10,Mistral-7B-Instruct-v0.3,25,[0.98333333]
gsm,punctuation_10,Qwen3-14B,1,"[0.86732373 0.86656558 0.87187263 0.85519333 0.87035633 0.87338893
 0.86959818 0.87490523 0.87490523 0.86732373 0.86884003 0.87490523
 0.87717968 0.85746778 0.87566338 0.86656558 0.86732373 0.87187263
 0.86808188 0.85974223 0.85746778 0.86504928 0.86353298 0.86201668
 0.87490523]"
gsm,punctuation_10,Qwen3-14B,5,"[0.91584534 0.91584534 0.91357089 0.91736164 0.91508719 0.91508719
 0.91736164 0.91736164 0.92039424 0.92191054 0.91508719 0.92115239
 0.91811979 0.92039424 0.91811979 0.91129644 0.91584534 0.91508719
 0.92039424 0.91584534 0.91432904]"
gsm,punctuation_10,Qwen3-14B,10,"[0.92797574 0.92266869 0.92494314 0.92721759 0.92645944 0.92418499
 0.92873389 0.93252464 0.92797574 0.92494314 0.93100834 0.93176649
 0.92645944 0.92873389 0.92645944 0.92797574]"
gsm,punctuation_10,Qwen3-14B,15,"[0.93176649 0.93100834 0.92949204 0.93176649 0.92873389 0.92873389
 0.93176649 0.93100834 0.93176649 0.93328279 0.93252464]"
gsm,punctuation_10,Qwen3-14B,20,[0.93252464 0.93252464 0.93328279 0.93328279 0.93025019 0.92949204]
gsm,punctuation_10,Qwen3-14B,25,[0.93404094]
math,punctuation_10,Qwen3-14B,1,"[0.49 0.44 0.45 0.53 0.51 0.49 0.48 0.44 0.48 0.48 0.48 0.5  0.45 0.51
 0.51 0.43 0.45 0.48 0.49 0.46 0.47 0.44 0.51 0.45 0.49]"
math,punctuation_10,Qwen3-14B,5,"[0.57 0.59 0.59 0.6  0.59 0.59 0.57 0.57 0.55 0.59 0.57 0.57 0.56 0.57
 0.6  0.54 0.58 0.54 0.57 0.52 0.54]"
math,punctuation_10,Qwen3-14B,10,"[0.65 0.64 0.67 0.67 0.67 0.65 0.65 0.65 0.65 0.65 0.63 0.64 0.64 0.64
 0.64 0.6 ]"
math,punctuation_10,Qwen3-14B,15,[0.71 0.69 0.71 0.7  0.73 0.7  0.68 0.67 0.64 0.65 0.65]
math,punctuation_10,Qwen3-14B,20,[0.73 0.7  0.71 0.69 0.72 0.71]
math,punctuation_10,Qwen3-14B,25,[0.71]
mmlu,punctuation_10,Qwen3-14B,1,"[0.81680831 0.81397545 0.80453258 0.80736544 0.81680831 0.82719547
 0.8177526  0.81397545 0.81586402 0.81964117 0.80642115 0.81680831
 0.79981114 0.81114259 0.81491974 0.81680831 0.82058546 0.80736544
 0.81869688 0.81680831 0.81114259 0.80453258 0.81303116 0.8101983
 0.81964117]"
mmlu,punctuation_10,Qwen3-14B,5,"[0.82152975 0.82530689 0.82436261 0.82719547 0.83380548 0.8319169
 0.83286119 0.82719547 0.82058546 0.83286119 0.8177526  0.82341832
 0.83852691 0.83002833 0.8319169  0.83286119 0.83097262 0.82625118
 0.82341832 0.82530689 0.82341832]"
mmlu,punctuation_10,Qwen3-14B,10,"[0.82719547 0.83097262 0.82436261 0.82625118 0.83097262 0.83380548
 0.82908404 0.83002833 0.82908404 0.8394712  0.82813975 0.8319169
 0.83286119 0.8319169  0.83097262 0.82530689]"
mmlu,punctuation_10,Qwen3-14B,15,"[0.82813975 0.82530689 0.82530689 0.82908404 0.83002833 0.83286119
 0.83380548 0.82908404 0.82813975 0.83002833 0.82341832]"
mmlu,punctuation_10,Qwen3-14B,20,[0.82530689 0.83002833 0.83286119 0.82813975 0.82908404 0.83097262]
mmlu,punctuation_10,Qwen3-14B,25,[0.83002833]
multiarith,punctuation_10,Qwen3-14B,1,"[0.97777778 0.97222222 0.97777778 0.97777778 0.96111111 0.95555556
 0.96666667 0.96666667 0.95555556 0.99444444 0.96666667 0.97222222
 0.93888889 0.97777778 0.97777778 0.96111111 0.96111111 0.98333333
 0.96666667 0.96111111 0.97777778 0.96111111 0.97777778 0.97777778
 0.96666667]"
multiarith,punctuation_10,Qwen3-14B,5,"[0.98888889 0.97777778 0.98333333 0.97777778 0.98333333 0.98333333
 0.98888889 0.98333333 0.98888889 0.98333333 0.98333333 0.98333333
 0.98333333 0.98888889 0.98888889 0.97777778 0.97777778 0.97777778
 0.98333333 0.98333333 0.97777778]"
multiarith,punctuation_10,Qwen3-14B,10,"[0.98888889 0.98333333 0.98888889 0.98333333 0.98333333 0.98333333
 0.98333333 0.98333333 0.98333333 0.98333333 0.98333333 0.98333333
 0.98333333 0.98333333 0.98333333 0.97777778]"
multiarith,punctuation_10,Qwen3-14B,15,"[0.98333333 0.98333333 0.98333333 0.98333333 0.98333333 0.98333333
 0.98333333 0.98333333 0.98333333 0.98333333 0.98333333]"
multiarith,punctuation_10,Qwen3-14B,20,[0.98333333 0.98333333 0.98333333 0.98333333 0.98333333 0.98333333]
multiarith,punctuation_10,Qwen3-14B,25,[0.98333333]
gsm,punctuation_10,Qwen3-4B,1,"[0.78392722 0.79226687 0.78165277 0.78999242 0.77028052 0.79075057
 0.80136467 0.79226687 0.80212282 0.78241092 0.80288097 0.79150872
 0.78620167 0.79909022 0.80212282 0.78771797 0.80439727 0.78847612
 0.78241092 0.78316907 0.79302502 0.77482942 0.78165277 0.80136467
 0.78544352]"
gsm,punctuation_10,Qwen3-4B,5,"[0.86884003 0.87945413 0.87414708 0.88324488 0.88400303 0.88627748
 0.87414708 0.87717968 0.87490523 0.88400303 0.88779378 0.88931008
 0.87717968 0.87717968 0.86808188 0.87035633 0.88172858 0.88172858
 0.88172858 0.89158453 0.88400303]"
gsm,punctuation_10,Qwen3-4B,10,"[0.90144049 0.90598939 0.89764973 0.90902199 0.91357089 0.91205459
 0.91205459 0.90523124 0.90295679 0.90295679 0.89537528 0.89992418
 0.90674754 0.90674754 0.90371494 0.90371494]"
gsm,punctuation_10,Qwen3-4B,15,"[0.91584534 0.91508719 0.91508719 0.91508719 0.91660349 0.91281274
 0.90978014 0.90978014 0.90902199 0.91205459 0.91281274]"
gsm,punctuation_10,Qwen3-4B,20,[0.91281274 0.91432904 0.91432904 0.91432904 0.91508719 0.91584534]
gsm,punctuation_10,Qwen3-4B,25,[0.91584534]
math,punctuation_10,Qwen3-4B,1,"[0.53 0.51 0.48 0.53 0.45 0.53 0.46 0.45 0.49 0.49 0.46 0.43 0.44 0.45
 0.44 0.47 0.55 0.53 0.51 0.43 0.47 0.48 0.49 0.49 0.46]"
math,punctuation_10,Qwen3-4B,5,"[0.65 0.65 0.65 0.63 0.62 0.63 0.62 0.6  0.62 0.61 0.6  0.56 0.57 0.58
 0.58 0.6  0.6  0.63 0.6  0.57 0.58]"
math,punctuation_10,Qwen3-4B,10,"[0.7  0.69 0.66 0.67 0.66 0.65 0.65 0.67 0.67 0.67 0.63 0.63 0.61 0.63
 0.65 0.68]"
math,punctuation_10,Qwen3-4B,15,[0.7  0.69 0.68 0.69 0.69 0.68 0.67 0.66 0.66 0.69 0.67]
math,punctuation_10,Qwen3-4B,20,[0.74 0.71 0.69 0.7  0.69 0.68]
math,punctuation_10,Qwen3-4B,25,[0.74]
mmlu,punctuation_10,Qwen3-4B,1,"[0.81208687 0.80830973 0.81586402 0.8177526  0.82813975 0.79603399
 0.83380548 0.82247403 0.81208687 0.82530689 0.80830973 0.82341832
 0.82719547 0.81964117 0.82247403 0.8101983  0.81586402 0.80830973
 0.82152975 0.8319169  0.81114259 0.82152975 0.80453258 0.8177526
 0.82152975]"
mmlu,punctuation_10,Qwen3-4B,5,"[0.83474976 0.83286119 0.84230406 0.84324835 0.83663834 0.84230406
 0.8470255  0.84891407 0.84230406 0.83852691 0.84230406 0.85457979
 0.85646837 0.84041549 0.84041549 0.83474976 0.83852691 0.83380548
 0.84324835 0.84230406 0.83663834]"
mmlu,punctuation_10,Qwen3-4B,10,"[0.84230406 0.84230406 0.84513692 0.84419263 0.84608121 0.84419263
 0.84985836 0.85174693 0.84419263 0.84608121 0.84135977 0.85269122
 0.84513692 0.8394712  0.83758263 0.84041549]"
